rating,text
5,"Mình đi vào lúc spa đông khách, ngồi chờ 1 xíu thì thấy nhân viên dùng đồ sạch sẽ, đồ dụng dụng cụ k tái sử dụng. 10đ còn chưa lấy nhân mụn nên chưa biết oki k🤣🤣🤣 …"
5,"Đã trải nghiệm dịch vụ ở đây. Không gian oke , tư vấn nhiệt tình nhưng không ép mua, nv ở đây rất vui vẻ và hoà đồng luôn nèeee"
5,"Lần đầu tiên đi lấy mụn và hài lòng.  Nhân viên nhiệt tình,, lấy mun sạch,  k ép mua mỹ phẩm,  hỏi mua thì sẽ tư vấn,  đồ dùng sạch sẽ và chính hãng"
5,"nặn mụn mà được mấy chị chăm sóc ưng quá. oánh 5* cho sự nhiệt tình, đáng iu"
5,"Khuyên mọi người lấy nhân mụn hoặc làm gì lẻ cũng được,có giá niêm yết.Đừng có nghe theo mà làm combo,nói thì 1 đàng,làm thì không thấy giống nói,Hứa làm cái kia rồi đến lúc khách đến thì không làm nữa vơi 1 lý do lãng xẹt,combo mà giá …"
5,"Không gian ok, dụng cụ sạch, nhân viên nhiệt tình. Lấy nhân mụn êm và kỷ. Sẽ quay lại"
5,"Mình gội dưỡng sinh ở đây kĩ thuật cũng ok, điểm trừ là wc k đc vệ sinh sạch sẽ, không gian tiệm hơi tối"
5,"Mình nặn về và cảm thấy chỗ này nặn rất đau. 2 tháng trước cũng trên 1 nền da nhưng chỗ khác nặn nhẹ nhàng, về không sưng, không lên cồi lại. Nhưng chỗ này nặn đau, rất đau( mình nặn rất nhiều chỗ) nặn nhưng mà nèo làm liệu trình nhiều quá, gây khó chịu không thoải mái"
5,"Tư vấn nhiệt tình, sản phẩm tui dùng sai thì hướng dùng cho đúng chứ k ép mua. 10đ nặn mụn
9đ gội đầu vì có 3 giường. K đặt lịch là phải đợi"
5,"Không gian ok , nặn mụn vệ sinh 10đ , các sản phẩm dùng chất lượng , nhân viên rất nhiệt tình . Nhưng về kĩ thuật nv mình thấy chưa ổn , mụn của mình chưa đc nặn sạch hết nhân khi về thì nó lên chi chít , và spa nặn bằng cây mặt mình bầm hết . Nói chung mọi thứ đều ok nhưng lấy nhân không sạch và bị bầm"
5,"Đều đặn mỗi tháng 1-2 lần phải ghé Sam, dịch vụ quá với chi phí quá rẻ"
5,"Đã trải nghiệm dịch vụ ở đây, rất tốt
Sẽ quay lại"
5,Lấy mun phê lăm mn. Tư vấn nhiệt tình nhưng k ép mua. Nhơ xem sản phẩm đang dung mn nhiệt tình chứ k khó chịu. Gội dưỡng sinh 9đ vì 1điểm trừ là nghĩ hơi sớm
5,"Nhân viên gội đầu chậm chạp, làm k dễ chịu, về bị đau 2 vai và gáy k quay nổi đầu"
5,"T nặn mụn đây, k sưng k đau, mừ đỉm nè. Đặc biệt có đôi dép cute 🤣 …"
5,gội đầu mê mà rẻ nè.  sẽ ủng hộ s
5,"Em trải nghiệm dịch vụ tốt , sẽ quay lại lần 2"
5,Mình cấy meso vs chăm da ở đây. Nói chung là thích nha
